both,row,col,6oct,23nov,30nov,28dec
3603,36,03,170.15,346.5,335.5,306.5
3604,36,04,143.4333333,33.66666667,90.66666667,113
3605,36,05,136.15,27.75,71,115.75
3606,36,06,136.9666667,23.83333333,54.5,96
3607,36,07,115.75,18.5,52.5,85
3608,36,08,94.99,20.5,51,80
3609,36,09,96.13333333,18.66666667,47.66666667,79.66666667
3610,36,10,107.65,18.25,47.5,83
3611,36,11,null,null,null,null
3612,36,12,null,null,null,null
3613,36,13,null,null,null,null
3614,36,14,null,null,null,null
3615,36,15,null,null,null,null
3616,36,16,null,null,null,null
3617,36,17,null,null,null,null
3618,36,18,null,null,null,null
3619,36,19,null,null,null,null
3620,36,20,null,null,null,null
3621,36,21,null,null,null,null
3622,36,22,null,null,null,null
3623,36,23,null,null,null,null
3624,36,24,null,null,null,null
3625,36,25,null,null,null,null
3626,36,26,null,null,null,null
3627,36,27,null,null,null,null
3628,36,28,null,null,null,null
3629,36,29,null,null,null,null
3630,36,30,null,null,null,null
3631,36,31,null,null,null,null
3632,36,32,null,null,null,null
3700,37,00,null,null,null,null
3701,37,01,null,null,null,null
3702,37,02,null,null,null,null
3703,37,03,188.75,367.5,292.25,302.25
3704,37,04,144.7,46.16666667,157.6666667,172
3705,37,05,125.7,26.5,70,106.5
3706,37,06,112.2,23.83333333,61,101.3333333
3707,37,07,99.55,19,51.75,92
3708,37,08,93.26666667,19.5,50.5,88.5
3709,37,09,90.36666667,19.16666667,49.66666667,79
3710,37,10,null,null,null,null
3711,37,11,null,null,null,null
3712,37,12,null,null,null,null
3713,37,13,null,null,null,null
3714,37,14,null,null,null,null
3715,37,15,null,null,null,null
3716,37,16,null,null,null,null
3717,37,17,null,null,null,null
3718,37,18,null,null,null,null
3719,37,19,null,null,null,null
3720,37,20,null,null,null,null
3721,37,21,null,null,null,null
3722,37,22,null,null,null,null
3723,37,23,null,null,null,null
3724,37,24,null,null,null,null
3725,37,25,null,null,null,null
3726,37,26,null,null,null,null
3727,37,27,null,null,null,null
3728,37,28,null,null,null,null
3729,37,29,null,null,null,null
3730,37,30,null,null,null,null
3731,37,31,null,null,null,null
3732,37,32,null,null,null,null
3800,38,00,null,null,null,null
3801,38,01,null,null,null,null
3802,38,02,null,null,null,null
3803,38,03,null,null,null,null
3804,38,04,166.8444444,162.2222222,433.2222222,319.3333333
3805,38,05,109.5,29.33333333,85.33333333,129.3333333
3806,38,06,100.7333333,24.55555556,63.55555556,105.7777778
3807,38,07,93.38333333,21.33333333,60.66666667,97.33333333
3808,38,08,90.03333333,19.66666667,57,94.5
3809,38,09,null,null,null,null
3810,38,10,null,null,null,null
3811,38,11,null,null,null,null
3812,38,12,null,null,null,null
3813,38,13,null,null,null,null
3814,38,14,null,null,null,null
3815,38,15,null,null,null,null
3816,38,16,null,null,null,null
3817,38,17,null,null,null,null
3818,38,18,null,null,null,null
3819,38,19,null,null,null,null
3820,38,20,null,null,null,null
3821,38,21,null,null,null,null
3822,38,22,null,null,null,null
3823,38,23,null,null,null,null
3824,38,24,null,null,null,null
3825,38,25,null,null,null,null
3826,38,26,null,null,null,null
3827,38,27,null,null,null,null
3828,38,28,null,null,null,null
3829,38,29,null,null,null,null
3830,38,30,null,null,null,null
3831,38,31,null,null,null,null
3832,38,32,null,null,null,null
3900,39,00,null,null,null,null
3901,39,01,null,null,null,null
3902,39,02,null,null,null,null
3903,39,03,null,null,null,null
3904,39,04,194.2333333,191.8333333,445.6666667,308.5
3905,39,05,104.3,33.5,84,143.25
3906,39,06,97.1,26,73.83333333,117
3907,39,07,null,null,null,null
3908,39,08,null,null,null,null
3909,39,09,null,null,null,null
3910,39,10,null,null,null,null
3911,39,11,null,null,null,null
3912,39,12,null,null,null,null
3913,39,13,null,null,null,null
3914,39,14,null,null,null,null
3915,39,15,null,null,null,null
3916,39,16,null,null,null,null
3917,39,17,null,null,null,null
3918,39,18,null,null,null,null
3919,39,19,null,null,null,null
3920,39,20,null,null,null,null
3921,39,21,null,null,null,null
3922,39,22,null,null,null,null
3923,39,23,null,null,null,null
3924,39,24,null,null,null,null
3925,39,25,null,null,null,null
3926,39,26,null,null,null,null
3927,39,27,null,null,null,null
3928,39,28,null,null,null,null
3929,39,29,null,null,null,null
3930,39,30,null,null,null,null
3931,39,31,null,null,null,null
3932,39,32,null,null,null,null
4000,40,00,null,null,null,null
4001,40,01,null,null,null,null
4002,40,02,null,null,null,null
4003,40,03,null,null,null,null
4004,40,04,261.6,439,397.3333333,345.1666667
4005,40,05,100.65,40,97.5,155.5
4006,40,06,null,null,null,null
4007,40,07,null,null,null,null
4008,40,08,null,null,null,null
4009,40,09,null,null,null,null
4010,40,10,null,null,null,null
4011,40,11,null,null,null,null
4012,40,12,null,null,null,null
4013,40,13,null,null,null,null
4014,40,14,null,null,null,null
4015,40,15,null,null,null,null
4016,40,16,null,null,null,null
4017,40,17,null,null,null,null
4018,40,18,null,null,null,null
4019,40,19,null,null,null,null
4020,40,20,null,null,null,null
4021,40,21,null,null,null,null
4022,40,22,null,null,null,null
4023,40,23,null,null,null,null
4024,40,24,null,null,null,null
4025,40,25,null,null,null,null
4026,40,26,null,null,null,null
4027,40,27,null,null,null,null
4028,40,28,null,null,null,null
4029,40,29,null,null,null,null
4030,40,30,null,null,null,null
4031,40,31,null,null,null,null
4032,40,32,null,null,null,null
4100,41,00,null,null,null,null
4101,41,01,null,null,null,null
4102,41,02,null,null,null,null
4103,41,03,null,null,null,null
4104,41,04,null,null,null,null
4105,41,05,null,null,null,null
4106,41,06,null,null,null,null
4107,41,07,null,null,null,null
4108,41,08,null,null,null,null
4109,41,09,null,null,null,null
4110,41,10,null,null,null,null
4111,41,11,null,null,null,null
4112,41,12,null,null,null,null
4113,41,13,null,null,null,null
4114,41,14,null,null,null,null
4115,41,15,null,null,null,null
4116,41,16,null,null,null,null
4117,41,17,null,null,null,null
4118,41,18,null,null,null,null
4119,41,19,null,null,null,null
4120,41,20,null,null,null,null
4121,41,21,null,null,null,null
4122,41,22,null,null,null,null
4123,41,23,null,null,null,null
4124,41,24,null,null,null,null
4125,41,25,null,null,null,null
4126,41,26,null,null,null,null
4127,41,27,null,null,null,null
4128,41,28,null,null,null,null
4129,41,29,null,null,null,null
4130,41,30,null,null,null,null
4131,41,31,null,null,null,null
4132,41,32,null,null,null,null
